,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
284,Melbourne,Niamh McEvoy,3,6,16,22,11,145,5,7,0,97,0,1,1,2021.0
285,GWS Giants,Nicola Barr,6,42,20,62,12,1140,19,18,0,274,0,1,1,2021.0
286,Carlton,Nicola Stevens,9,62,29,91,55,1430,26,24,0,472,9,8,62,2021.0
287,North Melbourne,Nicole Bresnehen,10,44,27,71,24,931,19,25,0,347,0,0,0,2021.0
288,Geelong,Nicole Garner,7,31,18,49,19,635,7,13,0,199,0,1,1,2021.0
289,Adelaide,Nikki Gore,6,30,12,42,12,641,13,18,0,216,0,0,0,2021.0
290,Geelong,Olivia Barber,7,22,24,46,43,399,10,15,18,211,3,1,19,2021.0
291,Geelong,Olivia Purcell,5,35,42,77,50,765,11,22,0,294,0,1,1,2021.0
292,Brisbane,Orla O'Dwyer,11,97,52,149,83,2757,18,42,0,625,2,8,20,2021.0
293,Gold Coast,Paige Parker,6,21,14,35,14,387,6,15,0,168,1,0,6,2021.0
294,West Coast,Parris Laurie,9,29,49,78,56,665,17,14,125,408,1,2,8,2021.0
295,GWS Giants,Pepa Randall,9,29,20,49,24,692,9,16,0,201,0,0,0,2021.0
296,Fremantle,Philipa Seth,7,57,11,68,25,1344,9,13,0,269,0,0,0,2021.0
297,Geelong,Phoebe McWilliams,9,54,24,78,32,1216,30,16,0,382,4,7,31,2021.0
298,Richmond,Phoebe Monahan,6,40,13,53,17,1028,11,10,0,211,0,0,0,2021.0
299,St Kilda,Poppy Kelly,3,2,18,20,20,23,1,13,52,145,0,0,0,2021.0
300,Adelaide,Rachelle Martin,7,24,52,76,51,421,5,33,0,335,3,2,20,2021.0
301,GWS Giants,Rebecca Beeson,9,98,97,195,106,1926,20,41,0,693,1,1,7,2021.0
302,Geelong,Rebecca Goring,5,17,11,28,14,341,5,8,0,116,0,0,0,2021.0
303,Richmond,Rebecca Miller,9,58,18,76,24,1416,16,8,0,274,0,0,0,2021.0
304,St Kilda,Rebecca Ott,1,3,3,6,3,69,2,0,0,21,0,0,0,2021.0
305,GWS Giants,Rebecca Privitelli,8,41,30,71,38,713,19,18,0,341,5,3,33,2021.0
306,Geelong,Rebecca Webster,9,88,48,136,51,2168,22,25,0,520,2,3,15,2021.0
307,Geelong,Rene Caris,5,21,22,43,24,376,4,6,34,171,1,0,6,2021.0
308,Adelaide,Renee Forth,2,5,2,7,3,85,0,0,2,23,1,1,7,2021.0
309,Geelong,Renee Garing,9,45,61,106,59,905,15,28,0,409,0,0,0,2021.0
310,St Kilda,Renee Saulitis,3,10,6,16,5,252,4,1,0,55,0,0,0,2021.0
311,Brisbane,Rheanne Lugg,2,7,3,10,2,134,5,2,0,47,0,0,0,2021.0
312,Adelaide,Rhiannon Metcalfe,9,47,24,71,48,1129,10,13,146,389,0,2,2,2021.0
313,St Kilda,Rhiannon Watt,9,37,74,111,74,743,26,19,68,477,0,0,0,2021.0
314,Geelong,Richelle Cranston,9,47,16,63,33,1155,12,17,1,302,5,2,32,2021.0
315,St Kilda,Rosie Dillon,9,47,64,111,60,1034,11,53,0,493,0,0,0,2021.0
316,Fremantle,Roxanne Roux,10,70,11,81,40,1574,25,16,61,470,6,3,39,2021.0
317,Collingwood,Ruby Schleicher,11,115,62,177,76,2941,46,29,0,721,2,0,12,2021.0
318,Fremantle,Sabreena Duffy,10,59,28,87,56,1564,10,21,0,406,10,7,67,2021.0
319,Richmond,Sabrina Frederick,9,43,35,78,38,1014,17,14,44,369,2,4,16,2021.0
320,Gold Coast,Sally Riley,5,27,18,45,24,567,7,3,0,147,0,0,0,2021.0
321,Gold Coast,Sam Virgo,7,41,16,57,21,786,24,9,0,277,3,1,19,2021.0
322,Adelaide,Sarah Allan,11,85,53,138,53,2467,23,13,6,490,0,0,0,2021.0
323,Richmond,Sarah D'Arcy,9,49,45,94,61,934,18,14,0,331,0,0,0,2021.0
324,Richmond,Sarah Dargan,8,19,21,40,25,539,3,20,0,199,0,1,1,2021.0
325,GWS Giants,Sarah Halvorsen,2,1,5,6,5,34,1,7,4,45,0,0,0,2021.0
326,Western Bulldogs,Sarah Hartwig,9,44,30,74,37,1198,13,17,0,283,0,0,0,2021.0
327,Richmond,Sarah Hosking,9,73,56,129,59,1347,31,38,0,571,1,3,9,2021.0
328,Melbourne,Sarah Lampard,9,61,38,99,41,1505,11,18,0,354,0,0,0,2021.0
329,Gold Coast,Sarah Perkins,5,29,3,32,18,649,9,5,12,166,3,0,18,2021.0
330,Collingwood,Sarah Rowe,7,57,37,94,22,1197,14,6,0,304,1,2,8,2021.0
331,Richmond,Sarah Sansonetti,3,7,11,18,5,173,2,2,0,53,0,0,0,2021.0
332,Fremantle,Sarah Verrier,10,40,23,63,46,738,7,27,0,298,1,3,9,2021.0
333,North Melbourne,Sarah Wright,5,25,15,40,18,583,13,7,0,173,0,0,0,2021.0
334,Carlton,Serena Gibbs,3,9,4,13,6,221,3,2,8,69,3,0,18,2021.0
335,Gold Coast,Serene Watson,9,68,49,117,48,1329,15,34,0,438,0,0,0,2021.0
336,West Coast,Shanae Davison,5,8,8,16,13,198,3,11,0,91,0,0,0,2021.0
337,Brisbane,Shannon Campbell,10,84,11,95,31,2255,18,25,0,419,1,0,6,2021.0
338,Collingwood,Sharni Norder,10,50,54,104,70,1220,17,24,147,541,3,1,19,2021.0
339,Melbourne,Shelley Heath,11,32,47,79,46,952,13,37,0,379,1,0,6,2021.0
340,Melbourne,Shelley Scott,11,84,47,131,67,2054,32,41,2,671,10,10,70,2021.0
341,Melbourne,Sinéad Goldrick,6,21,32,53,34,561,9,5,0,158,0,0,0,2021.0
342,North Melbourne,Sophie Abbatangelo,9,31,21,52,32,484,13,9,0,233,9,3,57,2021.0
343,Collingwood,Sophie Alexander,11,40,38,78,43,1260,22,11,4,345,6,10,46,2021.0
344,Collingwood,Sophie Casey,10,23,31,54,27,487,9,17,0,211,0,0,0,2021.0
345,Brisbane,Sophie Conway,11,103,29,132,48,2897,32,30,0,572,1,3,9,2021.0
346,West Coast,Sophie McDonald,5,21,13,34,18,436,4,3,0,114,0,0,0,2021.0
347,Richmond,Sophie Molan,9,35,43,78,38,939,8,25,0,300,0,0,0,2021.0
348,Geelong,Sophie Van De Heuvel,9,78,24,102,39,2057,22,28,0,459,0,1,1,2021.0
349,Collingwood,Stacey Livingstone,11,121,20,141,44,3039,38,14,0,550,0,0,0,2021.0
350,Collingwood,Steph Chiocci,11,79,67,146,45,2191,32,36,0,586,0,3,3,2021.0
351,Fremantle,Stephanie Cain,10,101,24,125,49,2843,36,32,0,576,1,5,11,2021.0
352,Geelong,Stephanie Williams,4,7,5,12,8,244,0,5,0,31,0,2,2,2021.0
353,Adelaide,Stevie-Lee Thompson,11,87,47,134,54,2931,19,28,0,516,2,6,18,2021.0
354,Brisbane,Tahlia Hickie,11,52,44,96,65,1341,21,31,157,594,1,1,7,2021.0
355,St Kilda,Tahlia Meyer,7,44,24,68,24,894,13,14,0,271,0,1,1,2021.0
356,North Melbourne,Tahlia Randall,10,64,19,83,31,1625,26,16,0,354,1,0,6,2021.0
357,North Melbourne,Tahni Nestor,3,4,21,25,17,114,1,5,0,73,0,0,0,2021.0
358,GWS Giants,Tait Mackrill,7,38,17,55,25,1097,13,18,0,271,3,1,19,2021.0
359,St Kilda,Tamara Luke,5,15,5,20,14,313,7,9,30,126,1,1,7,2021.0
360,GWS Giants,Tanya Hetherington,5,34,13,47,9,928,6,6,0,173,0,0,0,2021.0
361,Collingwood,Tarni Brown,11,48,76,124,55,1271,20,33,0,476,4,1,25,2021.0
362,GWS Giants,Tarni Evans,7,40,20,60,29,994,11,12,0,230,0,0,0,2021.0
363,St Kilda,Tarni White,9,63,35,98,37,1292,29,28,0,441,0,0,0,2021.0
364,West Coast,Tayla Bresland,5,35,8,43,13,1009,11,14,0,193,0,0,0,2021.0
365,Carlton,Tayla Harris,8,34,14,48,37,795,16,17,8,252,4,2,26,2021.0
366,Richmond,Tayla Stahl,9,43,20,63,25,927,11,16,0,279,7,2,44,2021.0
367,GWS Giants,Taylah Davies,5,17,6,23,11,363,4,13,0,135,2,1,13,2021.0
368,Brisbane,Taylor Smith,11,37,18,55,33,867,17,18,57,358,5,5,35,2021.0
369,Adelaide,Teah Charlton,11,48,53,101,59,1166,12,35,0,432,3,2,20,2021.0
370,Melbourne,Tegan Cunningham,11,32,52,84,49,813,23,28,37,438,6,4,40,2021.0
371,Richmond,Tessa Lavey,6,31,35,66,26,1012,8,10,0,218,0,0,0,2021.0
372,Fremantle,Tiah Toth,10,89,26,115,51,2077,19,41,0,531,1,2,8,2021.0
373,St Kilda,Tilly Lucas-Rodd,9,99,34,133,44,1783,21,26,0,529,0,0,0,2021.0
374,Gold Coast,Tori Groves-Little,3,16,11,27,15,466,7,12,0,131,0,0,0,2021.0
375,St Kilda,Tyanna Smith,9,70,52,122,63,1746,18,68,0,648,3,3,21,2021.0
376,Melbourne,Tyla Hanks,11,109,97,206,106,2472,28,52,0,833,2,5,17,2021.0
377,Carlton,Vaomua Laloifi,8,44,41,85,49,1208,17,10,1,303,0,0,0,2021.0
378,North Melbourne,Vivien Saad,9,39,39,78,53,597,21,27,61,377,0,0,0,2021.0
379,Gold Coast,Wallis Randell,5,20,18,38,19,499,6,5,0,131,0,0,0,2021.0
