,Team,Player,Games,Kicks,Handballs,Disposals,Contested Possessions,Metres Gained,Marks,Tackles,Hitouts,Fantasy,Goals,Behinds,Score,Year
243,West Coast,Maddy Collier,5,22,9,31,21,472,4,18,0,159,1,0,6,2020.0
244,Melbourne,Maddy Guerin,2,1,4,5,4,63,0,1,0,10,0,0,0,2020.0
245,Geelong,Maddy McMahon,6,31,24,55,37,656,12,14,0,229,0,0,0,2020.0
246,Geelong,Madeleine Boyd,1,1,1,2,1,11,1,1,1,16,1,0,6,2020.0
247,Geelong,Madeline Keryk,6,46,27,73,28,1020,14,12,0,273,0,0,0,2020.0
248,Geelong,Madisen Maguire,2,4,4,8,6,46,0,6,0,52,1,0,6,2020.0
249,Adelaide,Madison Newman,4,25,7,32,6,726,8,7,0,143,1,1,7,2020.0
250,Carlton,Madison Prespakis,7,88,61,149,79,1949,19,21,0,539,3,3,21,2020.0
251,Brisbane,Maria Moloney,7,43,35,78,44,963,13,22,0,304,0,1,1,2020.0
252,Adelaide,Marijana Rajcic,6,42,24,66,26,756,12,7,0,238,1,0,6,2020.0
253,West Coast,McKenzie Dowrick,5,18,9,27,12,581,5,13,0,139,1,0,6,2020.0
254,Melbourne,Meg Downie,4,11,16,27,17,220,2,7,0,93,0,0,0,2020.0
255,Geelong,Meg McDonald,4,43,14,57,25,1018,16,8,0,232,1,0,6,2020.0
256,West Coast,Melissa Caulfield,1,1,0,1,1,26,0,0,0,0,0,0,0,2020.0
257,Geelong,Melissa Hickey,6,31,20,51,28,460,15,6,1,205,0,0,0,2020.0
258,West Coast,Mhicca Carter,1,2,4,6,2,57,1,0,0,11,0,0,0,2020.0
259,North Melbourne,Mia King,4,14,21,35,21,200,5,15,0,161,1,0,6,2020.0
260,Fremantle,Mia-Rae Clifford,3,11,4,15,11,281,4,6,0,79,2,1,13,2020.0
261,Collingwood,Mikala Cann,7,26,43,69,38,471,14,24,0,320,1,1,7,2020.0
262,West Coast,Mikayla Bowen,6,34,28,62,42,710,5,31,0,290,1,1,7,2020.0
263,Geelong,Millie Brown,6,34,16,50,20,865,9,7,0,179,0,0,0,2020.0
264,Fremantle,Mim Strom,7,19,31,50,34,325,10,21,114,342,0,0,0,2020.0
265,St Kilda,Molly McDonald,6,49,8,57,15,1137,21,13,0,282,2,0,12,2020.0
266,Gold Coast,Molly Ritson,7,37,11,48,17,931,7,4,0,159,0,0,0,2020.0
267,Richmond,Monique Conti,6,61,58,119,66,1963,16,29,0,457,0,2,2,2020.0
268,Adelaide,Montana McKinnon,2,7,7,14,11,83,4,6,33,102,0,0,0,2020.0
269,St Kilda,Nadia von Bertouch,1,1,3,4,3,-13,0,1,0,10,0,0,0,2020.0
270,Adelaide,Najwa Allen,5,25,22,47,22,585,6,4,0,147,0,0,0,2020.0
271,Western Bulldogs,Naomi Ferres,6,31,29,60,35,674,9,16,0,230,0,0,0,2020.0
272,St Kilda,Nat Exon,6,39,21,60,27,819,12,38,0,333,0,2,2,2020.0
273,Brisbane,Nat Grider,7,29,28,57,32,633,7,20,0,238,0,0,0,2020.0
274,Carlton,Natalie Plane,7,60,26,86,28,1574,13,10,0,307,0,0,0,2020.0
275,Richmond,Nekaela Butler,1,2,3,5,3,64,1,3,0,28,0,0,0,2020.0
276,Western Bulldogs,Nell Morris-Dalton,1,5,3,8,3,155,2,5,0,48,0,1,1,2020.0
277,West Coast,Niamh Kelly,6,34,24,58,34,695,9,14,0,206,0,3,3,2020.0
278,Melbourne,Niamh McEvoy,5,14,26,40,13,369,8,8,0,148,1,1,7,2020.0
279,GWS Giants,Nicola Barr,5,34,15,49,13,886,11,5,0,176,0,2,2,2020.0
280,Carlton,Nicola Stevens,7,33,19,52,34,721,14,18,0,260,3,1,19,2020.0
281,St Kilda,Nicola Xenos,6,24,32,56,27,595,7,26,0,256,1,2,8,2020.0
282,North Melbourne,Nicole Bresnehen,3,9,3,12,5,143,4,6,0,64,0,0,0,2020.0
283,Western Bulldogs,Nicole Callinan,3,10,3,13,4,144,2,6,0,68,0,0,0,2020.0
284,Adelaide,Nicole Campbell,5,24,11,35,16,387,6,12,0,150,0,0,0,2020.0
285,Adelaide,Nikki Gore,6,24,15,39,18,382,8,35,0,284,2,1,13,2020.0
286,Geelong,Nina Morrison,6,52,28,80,38,1285,8,25,0,343,1,2,8,2020.0
287,Geelong,Olivia Purcell,6,63,58,121,69,1523,11,19,0,429,4,2,26,2020.0
288,St Kilda,Olivia Vesely,6,63,28,91,46,1138,14,26,0,386,1,1,7,2020.0
289,Brisbane,Orla O'Dwyer,7,27,26,53,29,651,6,13,0,198,1,4,10,2020.0
290,Gold Coast,Paige Parker,7,35,16,51,22,886,8,19,0,240,1,0,6,2020.0
291,West Coast,Parris Laurie,6,20,34,54,28,494,12,16,108,315,0,1,1,2020.0
292,GWS Giants,Pepa Randall,7,25,19,44,19,564,5,14,0,167,0,0,0,2020.0
293,Fremantle,Philipa Seth,7,58,16,74,20,1406,13,15,0,297,0,0,0,2020.0
294,Geelong,Phoebe McWilliams,6,30,25,55,30,871,16,11,0,241,4,1,25,2020.0
295,Richmond,Phoebe Monahan,6,84,19,103,33,2588,16,17,0,394,0,1,1,2020.0
296,St Kilda,Poppy Kelly,3,12,15,27,18,135,5,8,42,160,0,0,0,2020.0
297,Adelaide,Rachelle Martin,1,1,8,9,7,21,1,2,0,30,0,0,0,2020.0
298,GWS Giants,Rebecca Beeson,7,57,55,112,45,1164,14,19,0,398,0,1,1,2020.0
299,Geelong,Rebecca Goring,4,4,6,10,4,95,2,7,0,43,0,0,0,2020.0
300,Richmond,Rebecca Miller,6,23,17,40,17,584,8,9,1,153,0,0,0,2020.0
301,GWS Giants,Rebecca Privitelli,7,41,22,63,36,800,27,10,0,329,6,4,40,2020.0
302,Geelong,Rebecca Webster,6,40,37,77,22,1128,21,16,0,304,0,0,0,2020.0
